review_id,customer_review,rating
1,The product quality is excellent and I am very happy,5
2,"Very bad experience, the product stopped working",1
3,"Average product, not too good and not too bad",3
4,I loved the packaging and fast delivery,5
5,"Waste of money, very poor quality",1
6,Good product for this price range,4
7,The item is okay but delivery was late,3
8,Amazing experience and great value,5
9,Not satisfied with the service,2
10,Product is decent and works fine,3
11,Excellent service and very useful product,5
12,Bad quality and not recommended,1
13,"The product is neutral, nothing special",3
14,I am happy with the purchase,4
15,Poor packaging and damaged item received,1
16,Very useful and easy to use,5
17,The quality is not good,2
18,Nice product and fast delivery,4
19,It is okay for normal use,3
20,Worst product I have ever used,1
21,Great product and good support,5
22,Not worth the price,2
23,Satisfied with the performance,4
24,The delivery was late but product is fine,3
25,Excellent design and premium quality,5
26,Bad service from seller,1
27,Good quality and value for money,4
28,Normal product with average features,3
29,I really like this product,5
30,Very disappointed with the product,1
31,Fast delivery and good packaging,4
32,The product works as expected,3
33,Poor quality material,1
34,Happy with the overall experience,5
35,This product is not useful,2
36,Average experience with this order,3
37,Highly recommended product,5
38,Very slow delivery and bad packaging,1
39,Good performance and nice look,4
40,"Not bad, but can be improved",3
41,Excellent build quality,5
42,I did not like the product,2
43,The product is fine for daily use,3
44,Very good service,5
45,Bad experience with customer support,1
46,Amazing quality and smooth performance,5
47,"Neutral experience, nothing much to say",3
48,Poor product and waste of money,1
49,Good product but price is high,4
50,I am satisfied with this item,4
51,Worst packaging ever,1
52,Nice and useful product,4
53,The item is average,3
54,Excellent delivery and good quality,5
55,"Bad product, not recommended",1
56,The product is okay,3
57,Very happy with the service,5
58,Poor performance after few days,1
59,Good value for students,4
60,Great experience overall,5
